166  2479  HCorefEngine   INFO  Finished batch 83 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
168  2488  HCorefEngine   INFO  Finished batch 84 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
170  2502  HCorefEngine   INFO  Finished batch 85 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
172  2511  HCorefEngine   INFO  Finished batch 86 (10 iterations)  CRF Score = 2084.0  F1 = 0.9500905094388414
174  2523  HCorefEngine   INFO  Finished batch 87 (10 iterations)  CRF Score = 2084.0  F1 = 0.9500905094388414
176  2533  HCorefEngine   INFO  Finished batch 88 (10 iterations)  CRF Score = 2094.0  F1 = 0.940501043841336
178  2546  HCorefEngine   INFO  Finished batch 89 (10 iterations)  CRF Score = 2090.0  F1 = 0.9880358923230309
180  2556  HCorefEngine   INFO  Finished batch 90 (10 iterations)  CRF Score = 2090.0  F1 = 0.9880358923230309
182  2567  HCorefEngine   INFO  Finished batch 91 (10 iterations)  CRF Score = 2094.0  F1 = 0.940501043841336
184  2578  HCorefEngine   INFO  Finished batch 92 (10 iterations)  CRF Score = 2096.0  F1 = 0.9536082474226805
186  2590  HCorefEngine   INFO  Finished batch 93 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
188  2598  HCorefEngine   INFO  Finished batch 94 (10 iterations)  CRF Score = 2084.0  F1 = 0.949818934299017
190  2608  HCorefEngine   INFO  Finished batch 95 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
192  2616  HCorefEngine   INFO  Finished batch 96 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
194  2625  HCorefEngine   INFO  Finished batch 97 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
196  2633  HCorefEngine   INFO  Finished batch 98 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
198  2641  HCorefEngine   INFO  Finished batch 99 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
200  2650  HCorefEngine   INFO  Finished batch 100 (10 iterations)  CRF Score = 2090.0  F1 = 0.9465490399584846
202  4146  package$   INFO  Grouping 204875 mentions into canopies.
204  4293  package$   INFO  Found 38681 canopies.
206  7224  HCorefEngine   INFO  Finished batch 1 (2 iterations)  CRF Score = 159403.0  F1 = 0.02469599649457862
208  9513  HCorefEngine   INFO  Finished batch 2 (2 iterations)  CRF Score = 260089.0  F1 = 0.04139484654379913
210  12228  HCorefEngine   INFO  Finished batch 3 (2 iterations)  CRF Score = 336110.0  F1 = 0.05717255668887551
212  12993  package$   INFO  Grouping mentions into canopies.
214  13035  HCorefSupervisor   INFO  # Creating workers for 646 canopies.
216  15675  HCorefSupervisor   INFO  500 of 646 scores received (0 failures).  Total Score = 101078.0.  (Received score of 198.0 from HCorefWorker for QMtlhkuo.)
218  16516  HCorefSupervisor   INFO  646 of 646 scores received (0 failures).  Total Score = 130758.0.  (Received score of 158.0 from HCorefWorker for OPxpqdwz.)
220  16568  package$   INFO  Running sum = 130758.0.  Merged hypothesis running score = 130758.0.
222  16650  package$   INFO  F1 = 0.4013801347533145
224  17195  package$   INFO  Grouping 204875 mentions into canopies.
226  17286  package$   INFO  Found 38681 canopies.
228  19658  HCorefEngine   INFO  Finished batch 1 (2 iterations)  CRF Score = 159298.0  F1 = 0.024732308766796208
230  22313  HCorefEngine   INFO  Finished batch 2 (2 iterations)  CRF Score = 261811.0  F1 = 0.042001602062045194
232  24472  HCorefEngine   INFO  Finished batch 3 (2 iterations)  CRF Score = 338011.0  F1 = 0.057291320132827055
